Distance,High (GFP),High (TS1),High(TS2),Low (GFP),Low (TS1),Low (TS2)
1.345086272,0.900106667,0.616131888,0.798439579,0.943163148,0.608978327,0.768252043
1.347086772,0.899533704,0.615443723,0.799287059,0.943370911,0.608304986,0.769278531
1.349087272,0.898958678,0.614755608,0.800133578,0.943578516,0.6076319,0.770305991
1.351087772,0.898381904,0.614067963,0.800979459,0.943782937,0.606959892,0.77133232
1.353088272,0.897804312,0.613379399,0.801826465,0.943987326,0.606289146,0.772358366
1.355088772,0.897224114,0.612690576,0.802675928,0.944190494,0.60561842,0.773383125
1.357089272,0.896641548,0.612002841,0.803525187,0.944392826,0.604948405,0.774406711
1.359089772,0.896057213,0.611316477,0.804374389,0.944598485,0.604278989,0.775432065
1.361090273,0.895471691,0.610630002,0.805223708,0.944806257,0.603609799,0.776456959
1.363090773,0.894885884,0.609943361,0.806073151,0.945013796,0.602941159,0.777482001
1.365091273,0.894299347,0.6092564,0.806924868,0.94521783,0.602273267,0.778506057
1.367091773,0.893713126,0.608570251,0.807776974,0.945420345,0.601605615,0.779529999
1.369092273,0.893125131,0.607883356,0.808629404,0.945623602,0.600939003,0.780554208
1.371092773,0.892532351,0.607197061,0.80948139,0.945827022,0.600272971,0.781578836
1.373093273,0.891938484,0.606511231,0.810333771,0.94602978,0.59960675,0.782603078
1.375093773,0.891341555,0.605825839,0.811186397,0.946232911,0.598941948,0.783624609
1.377094274,0.890744331,0.605141206,0.812039612,0.946437302,0.598277839,0.784645725
1.379094774,0.890145739,0.604456412,0.812894004,0.946641092,0.597614003,0.785666939
1.381095274,0.889546876,0.60377251,0.813748709,0.946841121,0.596951555,0.786688693
1.383095774,0.888947888,0.603088727,0.814603991,0.947041161,0.596289596,0.787709252
1.385096274,0.888346874,0.602405415,0.815459466,0.947241199,0.59562795,0.788729226
1.387096774,0.887743057,0.601722027,0.816315184,0.947441241,0.594965991,0.789749202
1.389097274,0.887138276,0.601037349,0.817172194,0.947643753,0.594304605,0.790769497
1.391097774,0.886533529,0.600352651,0.818029113,0.947847155,0.593645061,0.791788405
1.393098275,0.885926178,0.599668636,0.818885031,0.948049214,0.592986039,0.792806796
1.395098775,0.885317763,0.598985146,0.819741624,0.948249687,0.59232686,0.793825171
1.397099275,0.884706927,0.598302935,0.820598787,0.948450079,0.591668129,0.794842872
1.399099775,0.884093034,0.597620639,0.821456472,0.948649489,0.591009711,0.795859748
1.401100275,0.883478569,0.596938771,0.822314145,0.948847344,0.590352143,0.796877177
1.403100775,0.882863878,0.596257638,0.823171244,0.949043923,0.589696075,0.79789318
1.405101275,0.882246871,0.595576371,0.824028349,0.949240478,0.589040742,0.798907785
1.407101775,0.881629401,0.594894697,0.824886593,0.949440738,0.588386144,0.799921396
1.409102276,0.881010938,0.594212652,0.825745424,0.949638415,0.587731967,0.800934347
1.411102776,0.88039186,0.593530946,0.826604025,0.949836831,0.587077758,0.801948211
1.413103276,0.879773247,0.592849067,0.827463135,0.950036088,0.586423139,0.802963879
1.415103776,0.87915294,0.592168031,0.828323621,0.950233977,0.585769375,0.803978307
1.417104276,0.878529941,0.591487782,0.82918376,0.950429723,0.585116166,0.804991658
1.419104776,0.877905116,0.59080738,0.830044572,0.950624074,0.584463567,0.806003973
1.421105276,0.877279656,0.590127162,0.830904919,0.950820534,0.583811779,0.807015479
1.423105776,0.876652603,0.589446762,0.831765645,0.951015144,0.583160893,0.808026446
1.425106277,0.87602346,0.588766717,0.832626149,0.951211596,0.582510379,0.809036493
1.427106777,0.875393071,0.588087453,0.833486158,0.951406236,0.58186109,0.810044589
1.429107277,0.874761846,0.587408182,0.834346406,0.951601033,0.581212376,0.81105257
1.431107777,0.874130899,0.586728699,0.835205669,0.951798217,0.580563745,0.812060547
1.433108277,0.873500034,0.586050869,0.836065912,0.951993223,0.579915635,0.813068724
1.435108777,0.872867314,0.585373326,0.836925599,0.952186206,0.579267841,0.814075854
1.437109277,0.872232953,0.58469578,0.837785417,0.952379591,0.578620998,0.815080533
1.439109777,0.87159625,0.584017477,0.838646013,0.952570085,0.577974609,0.816084541
1.441110278,0.870958726,0.583338646,0.839507725,0.952761674,0.577328647,0.817088947
1.443110778,0.870320658,0.582660045,0.840369046,0.95295477,0.57668324,0.818093306
1.445111278,0.869682292,0.581981813,0.841230058,0.953148119,0.576038171,0.819096814
1.447111778,0.869042824,0.581303777,0.842090975,0.953340428,0.575393605,0.820098931
1.449112278,0.868402028,0.580626549,0.842950979,0.95353183,0.574749599,0.821100886
1.451112778,0.867760877,0.579950778,0.843810573,0.953724563,0.574106322,0.822102657
1.453113278,0.867118102,0.579275293,0.844669567,0.953917261,0.573463495,0.823102991
1.455113778,0.866474836,0.578599848,0.84552859,0.954107042,0.572821428,0.824101784
1.457114279,0.865830652,0.577923869,0.846388523,0.95429463,0.572180212,0.825098575
1.459114779,0.865183211,0.577247129,0.847249152,0.954482414,0.571539245,0.826094658
1.461115279,0.864535967,0.576570261,0.84810958,0.954673043,0.570898987,0.827091543
1.463115779,0.863889045,0.575894406,0.848969156,0.954864701,0.570258685,0.828089064
1.465116279,0.863240173,0.575219063,0.84982782,0.955053242,0.569619215,0.829085005
1.467116779,0.862591058,0.574544494,0.850686099,0.955242955,0.568980217,0.830079632
1.469117279,0.861940769,0.573869992,0.851545492,0.955431504,0.568341274,0.83107363
1.471117779,0.861290684,0.573195456,0.852404535,0.955620915,0.567703054,0.832067107
1.47311828,0.860641797,0.572521425,0.853262589,0.95580968,0.567065319,0.833059186
1.47511878,0.859991785,0.571847679,0.854120562,0.955996296,0.56642847,0.834050021
1.47711928,0.859340072,0.571173963,0.854978671,0.956181173,0.565792859,0.835038316
1.47911978,0.858684754,0.570500611,0.855835378,0.956368183,0.565157814,0.836025867
1.48112028,0.858027144,0.569827373,0.856690877,0.9565557,0.56452306,0.837012987
1.48312078,0.857370243,0.569154097,0.857546192,0.956743162,0.563889011,0.837998016
1.48512128,0.856715588,0.568481627,0.858401538,0.956929959,0.563255555,0.838982772
1.48712178,0.856060333,0.567809788,0.859257204,0.957116879,0.562622337,0.839967014
1.489122281,0.85540322,0.567138017,0.860113548,0.95730309,0.561988478,0.840951206
1.491122781,0.854746093,0.56646594,0.860968588,0.957488967,0.561354643,0.841935379
1.493123281,0.854087775,0.565793786,0.861822566,0.957674196,0.560722006,0.842917632
1.495123781,0.85342791,0.56512213,0.862675089,0.957858993,0.560090391,0.84389873
1.497124281,0.852766744,0.564450433,0.863527529,0.958041869,0.559460359,0.844877039
1.499124781,0.852105515,0.563779066,0.864380397,0.958224833,0.558830437,0.845854864
1.501125281,0.85144458,0.563108507,0.865232239,0.958407967,0.558200774,0.84683075
1.503125781,0.850783534,0.562438474,0.866083159,0.958591597,0.5575714,0.847805343
1.505126282,0.850121342,0.561768536,0.866934056,0.958777155,0.556942389,0.848781326
1.507126782,0.849459098,0.56109911,0.867785138,0.958962294,0.556314111,0.849756371
1.509127282,0.848795017,0.560430276,0.86863437,0.959147252,0.555686294,0.850730038
1.511127782,0.848130499,0.559761267,0.869482503,0.959331072,0.555059439,0.851700863
1.513128282,0.847466125,0.559092127,0.870329551,0.95951307,0.554432888,0.852669665
1.515128782,0.846800964,0.558422978,0.87117642,0.959696295,0.553806358,0.85363864
1.517129282,0.846135568,0.557753806,0.872023365,0.959878272,0.553180984,0.854606116
1.519129782,0.845471637,0.557086003,0.872869333,0.960059518,0.552556417,0.855572185
1.521130283,0.844807968,0.556418222,0.873715084,0.960240358,0.551932172,0.856536517
1.523130783,0.844141835,0.555750699,0.874559517,0.960422747,0.551308119,0.857501081
1.525131283,0.843473736,0.55508398,0.875402914,0.960606554,0.550684493,0.858464716
1.527131783,0.842804797,0.5544177,0.876245044,0.960789363,0.55006199,0.859426268
1.529132283,0.842135968,0.55375179,0.877086983,0.960969411,0.549440557,0.8603837
1.531132783,0.841467718,0.55308518,0.877928092,0.96114805,0.548819015,0.861339879
1.533133283,0.840798955,0.552418294,0.878768032,0.961328405,0.548197655,0.862296144
1.535133783,0.840129936,0.551752014,0.87960631,0.961510119,0.547576419,0.863252251
1.537134284,0.839460964,0.551086848,0.880443063,0.961692825,0.546956439,0.86420683
1.539134784,0.838791671,0.550421811,0.881279249,0.96187387,0.546337187,0.865159172
1.541135284,0.838120805,0.549757186,0.882113604,0.962054283,0.545717672,0.866111404
1.543135784,0.837449847,0.549093462,0.88294774,0.962234234,0.545098773,0.867061966
1.545136284,0.836778477,0.548429982,0.883781072,0.962413593,0.544480364,0.868009938
1.547136784,0.83610672,0.547766598,0.884614062,0.962592251,0.543862738,0.868955948
1.549137284,0.835433934,0.547102724,0.885446681,0.962771097,0.543245966,0.869900104
1.551137784,0.834761551,0.546438736,0.886278939,0.96295063,0.542629604,0.87084351
1.553138285,0.834091636,0.545775489,0.887108776,0.963129395,0.54201419,0.871785511
1.555138785,0.833421447,0.545112728,0.887936362,0.963309643,0.541399141,0.872726863
1.557139285,0.832751274,0.544450635,0.888763372,0.96348843,0.540784807,0.873665533
1.559139785,0.832080046,0.54378872,0.889589536,0.963669102,0.540171454,0.874601767
1.561140285,0.831407242,0.543127473,0.890414062,0.963849167,0.539558328,0.8755369
1.563140785,0.83073343,0.542466076,0.891237443,0.964028053,0.538945436,0.8764711
1.565141285,0.830059842,0.541805368,0.892059587,0.964205124,0.538332819,0.877404059
1.567141785,0.82938477,0.541144695,0.892880444,0.964381512,0.537720515,0.878334866
1.569142286,0.828709878,0.540484522,0.893699982,0.964560775,0.537109518,0.879263606
1.571142786,0.828036726,0.539825956,0.894516133,0.96473972,0.536498898,0.880191627
1.573143286,0.82736384,0.539167424,0.895331189,0.964919959,0.535888374,0.881117843
1.575143786,0.82668978,0.538508376,0.896145727,0.96509976,0.535278309,0.882041307
1.577144286,0.826015145,0.537849149,0.896958819,0.96527739,0.534669479,0.882960131
1.579144786,0.825341616,0.537190067,0.897770965,0.965453252,0.53406108,0.883877694
1.581145286,0.824667956,0.536531756,0.898581856,0.965630401,0.533453518,0.884795421
1.583145786,0.82399267,0.535873682,0.899391723,0.965807371,0.532846522,0.885712722
1.585146287,0.82331606,0.53521573,0.900200709,0.965984593,0.53223982,0.886628214
